"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"888","Roads & Highways","Ministry of Road Transport & Highways","618297","Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 Old NH-150 from existing Km 30.474 Near Kidwema road Chakahabama to existing Km 53.220 Near Kikruma Village Design Km 29.60 to Km 51.50 Design length-21.90 Km in the state of Nagaland Under Bharatmala Pariyojna on EPC Mode under NHO Package-II -Balance work","355.79","355.79","0"
"889","Roads & Highways","Ministry of Road Transport & Highways","618298","Widening/Improvement of existing 2-Lane road to 4-Lane Divided Highway from Sekmai to Nilakuthi section of Imphal-Kohima Road Design Chainage from Km 297700 to Km 308729 of NH-39 New NH-02 in state of Manipur on EPC mode Pkg-5B","211.7","211.7","272.3"
"890","Roads & Highways","Ministry of Road Transport & Highways","618299","Improvement/Up-gradation of existing 2-Lane Road to 4-Lane Divided Highway from Daili to Kuraopokpi section of Imphal-Kohima road NH-02 Design Chainage from Km 274610 to Km 287000 in the state of Manipur on EPC mode Pkg-4B","268.98","268.98","206.28"
"891","Roads & Highways","Ministry of Road Transport & Highways","618300","Improvement/Up-gradation of existing 2-Lane Road to 4-Lane Divided Highway from Taphukuki to Daili section of Imphal-Kohima road NH-02 Design Chainage from Km 262175 to Km 274610 in the state of Manipur on EPC mode Pkg-4A","379.39","379.39","314.73"
"892","Roads & Highways","Ministry of Road Transport & Highways","618301","Widening/Improvement of existing 2-lane to 4-Lane Divided Highway from Kuraopokpi to Sekmai section of Imphal-Kohima Road Design Ch. km 287.00 to 297.700 of NH-39 New NH-02 in state of Manipur on EPC mode Pkg-5A","228.97","228.97","143.26"
"893","Roads & Highways","Ministry of Road Transport & Highways","618302","Widening/Improvement to 2-lane with earthen shoulder of Yaingangpokpi - Finch corner road section of NH-202 from Km 16.900 to Km 30.970 of NH-202 in the state of Manipur on EPC mode Package-2","256.04","256.04","195"
"894","Roads & Highways","Ministry of Road Transport & Highways","618303","Widening/Improvement to 2-lane with earthen shoulder of Yaingangpokpi - Finch corner road section of NH-202 from Km 0.000 to Km 16.900 of NH-202 in the state of Manipur on EPC mode Package-1","222.77","222.77","140.9"
"895","Roads & Highways","Ministry of Road Transport & Highways","618304","Widening/Improvement to 2 Lane with earthen shoulder of Jessami to Laynen bridge Nagaland border section of NH-29 of Imphal -Ukhrul - Jessami Economic Corridor from km 0.000 to km 11.009 in the State of Manipur on EPC mode under Bharatmala Pariyojana, under NHO-NE Package-7","164.89","164.89","128.92"
"896","Roads & Highways","Ministry of Road Transport & Highways","618305","Widening/Improvement to 2 lane with earthen shoulder of Marrem Khullen to Jessami section of NH-202 of Imphal - Ukhrul - Jessami Economic Corridor from Design Chainage km 95.700 to km 140.180 in the State of Manipur on EPC mode under Bharatmala Pariyojana under NHO-NE Package-6","554.66","554.66","225.73"
"897","Roads & Highways","Ministry of Road Transport & Highways","618306","Widening/Improvement to 2 lane with earthen shoulder of Choithar to Marrem Khullen section of NH-202 of Imphal Ukhrul Jessami Economic Corridor from Design Chainage km 53.110 to km 95.700 in the State of Manipur on EPC mode under Bharatmala Pariyojana, under NHO-NE Package-5","564.05","564.05","173.58"
"898","Roads & Highways","Ministry of Road Transport & Highways","618307","Rehabilitation and up-gradation of road from km 16.077 to km 43.935 total length 27.858 km of Lalchara-Kanchanpur section via Shivbari on NH-44A to 2 lane with paved shoulder in the state of Tripura on EPC Mode Pkg-2 under BharatMala Pariyojana Manu-Simlung -2","456.88","456.88","205.69"
"899","Roads & Highways","Ministry of Road Transport & Highways","618308","Construction of 4-Lane Panchgram Bypass from Design Chainage km 15500 on NH-37 Old NH-53 at Kalinagar Pt.-I Village to Design Chainage km 27300 at crossing with NH-6 Old NH-44 Near Siddeswar Pt.-I Village on Silchar - Churaibari stretch in the State of Assam on EPC Mode under Bharatmala Pariyojana in Economic Corridors Silchar- Churaibari Package-2","676.18","728.97","339.78"
"900","Roads & Highways","Ministry of Road Transport & Highways","618309","Widening/lmprovement to 4-Laning and Greenfield alignment with Paved shoulder of Silchar-Badarpur Churaibari section of NH-37 & NH-8 from Design chainage 38.600 End point of proposed Badarpur Bypass to Km. 62.800 Start point of proposed Nilambazar/Cheragi Bypass in the state of Assam on HAM Mode Package-4","1319.55","1319.55","185.17"
"901","Roads & Highways","Ministry of Road Transport & Highways","618310","Widening/lmprovement to 4-L of Karimgani - sutarkandi section of NH 37 from design Ch 0020 Start of proposed Karimganj Bypass from NH -8 to design Chainage Km 14380 near Sutarkandi Spur Connectivity to Indo/Bangladesh Border on Silchar-Churaibari in the State of Assam on HAM Mode Package-7","791.79","791.79","135.54"
"902","Roads & Highways","Ministry of Road Transport & Highways","618311","Widening/lmprovement to 4-Lane with Paved shoulder for existing as well as Greenfield alignment of Badarpur Churaibari section of NH-8 from Design chainage 87.700 Chandkhira to Km. 106.500 Churaibari section Assam-Tripura border in the state of Assam on HAM Mode Package-6","870","870","158.08"
"903","Roads & Highways","Ministry of Road Transport & Highways","618312","Widening/lmprovement to 4-Lane with Paved Shoulder from existing road and Greenfield alignment form Design Ch. 62.800 start of proposed Nilambazar/Cheragi Bypass to Design Ch. 87.700 near Chandkhira Village of NH-8 on Silchar-Churaibari in the state of Assam on HAM Mode Package-5","1258.13","1258.13","186.86"
"904","Roads & Highways","Ministry of Road Transport & Highways","618313","Widening/lmprovement of Existing 2 lane to 4-Laning of Karimganj-Silchar section of NH-37 from Design Ch 0.000 near Silchar ISBT to Design Ch 15.970 near Kalinagar Pt I on NH-37 in Assam on HAM Mode Pkg-1","1181.55","1181.55","178.62"
"905","Roads & Highways","Ministry of Road Transport & Highways","618314","4-Laning of Dhanehari Lailapur / Vairengte section from Existing Chainage km 12920 to km 43000 of NH 306 Design Chainage km 20000 to km 49360 on Silchar - Vairengte Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode. Project Length 29.360 km under NHO-NE Package-2","1716.21","1716.21","1057.72"
"906","Roads & Highways","Ministry of Road Transport & Highways","618315","4-Laning of Silchar - Dhanehari section from Existing Chainage km 263800 of NH 37 to km 12920 of NH 306 Design Chainage km 0000 to km 20000 on Silchar - Vairengte - Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode Package-1","1256.9","1256.9","632.2"
"907","Roads & Highways","Ministry of Road Transport & Highways","618316","4-Laning of Vairengte - Chhimluang section Package-3 of NH-306 from Existing Chainage km 43000 to Km 59700 Design Chainage km 46000 to km 60850 on Silchar - Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under NHO-NE. Package-1&2 in Assam state","491.39","491.39","238.01"
"908","Roads & Highways","Ministry of Road Transport & Highways","618317","4-Laning of chhimluang-Kolasib from section pkg-4 of NH-306 & NH-6 existing chainage km 59700 to km 86000 design chainage km 61000 to km 77500 on Silchar-vairengte-sairang road in the state of Mizoram under Bharatmala Pariyojna on EPC mode Vairengte - Sairang Pkg-4","561.91","561.91","223.99"
"909","Roads & Highways","Ministry of Road Transport & Highways","618318","4-Laning of Kolasib - Sethawn section Package-5 of NH-6 from Existing Chainage km 86000 to km 107850 Design Chainage km 77500 to km 95500 on silchar - vairengte - sairang road under Bharatmala Pariyojna on EPC mode under NHO-NE Vairengte - Sairang Pkg-5","720.4","720.4","259.85"
"910","Roads & Highways","Ministry of Road Transport & Highways","618319","4-Laning of Sethawn - N. Kawnpui section Package-6 of NH-6 from Existing Chainage km 107850 to km 126315 Design Chainage km 95500 to km 111850 on Silchar-Vairengte- Sairang road, Vairengte - Sairang Pkg-6","595.65","595.65","189.39"
"911","Roads & Highways","Ministry of Road Transport & Highways","618320","Construction of 4-Laning of N. Kawnpui N. Mualvum Mualkhang via Khamrang Village section Package-7 of NH-6 from Existing Chainage km 127200 to km 142000 Design Chainage km 111850 to km 123400 on Silchar - Vairengte - Sairang road in the State of Mizoram on EPC mode","866.32","866.32","190.01"
"912","Roads & Highways","Ministry of Road Transport & Highways","618321","Construction of 4-Laning of West Serawlg-Sairang section of NH-6 from Existing Chainage km 142000 to km 158900 Design Chainage km 123400 to km 136260 on Silchar - Vairengte - Sairang road in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-8","875.79","875.79","288.34"
"913","Roads & Highways","Ministry of Road Transport & Highways","618323","Construction of Twin Tube Uni-directional Aizawl Bypass Tunnel of 2.5 km and its approaches of 2.1 km from km 10.600 to km 15.200 on Sarrang - Phaibawk section of NH-6 in the State of Mizoram on EPC Mode under NHO-NE Package-2","1313.28","1313.28","0.11"
"914","Roads & Highways","Ministry of Road Transport & Highways","618324","Construction of 2-lane Aizawl Bypass from km 15.200 to km 34.500 Package-3 on Sairang - Phaibawk section of NH-6 in the State of Mizoram under Bharatmala Pariyojna on EPC Mode under NHO-NE","720.72","720.72","102.62"
"915","Roads & Highways","Ministry of Road Transport & Highways","618326","Widening/Improvement to 4-Lane with Paved Shoulder from KM 38500 to Km 51246 Design Chainage 38500 to 50959 with proposed Daboka Bypass of Daboka-Parokhaowa of NH 29 on EPC under NHO-NE Package-1","516.88","516.88","322.98"
"916","Roads & Highways","Ministry of Road Transport & Highways","618328","4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass under SARDP-NE Package-III","562.98","794.75","542.85"
"917","Roads & Highways","Ministry of Road Transport & Highways","618331","lmprovement to 4-Lane with Paved Shoulder from existing km 260000 Design Ch.4560 km to existing km Ch.233000 D. Ch.24560 of Silchar near Nutan Dayapur village - Budha Nagar Section Length-20.00 Km of NH-37 under Package Silchar-Jiribam Pkg-1 in the state of Assam on HAM Mode","957.95","957.95","214.64"
"918","Roads & Highways","Ministry of Road Transport & Highways","618333","Widening to 2 lane with Paved shoulder of lmphal to Jiribam section of NH-37 from Design Ch. from km 169570 Near Nungkao vlllage under Tamenglong District to km 205974 near Jiribam Bridge under Jiribam district under NHO-NE PKG-7","760.16","760.16","428.13"
"919","Roads & Highways","Ministry of Road Transport & Highways","618334","Widening to 2 Lane with Paved shoulder of lmphal to Jiribam section of NH-37 from Design Ch. from km 131.280 to km 169.570 on EPC mode in Manipur under NHO-TSP PKG-6","504.76","504.76","325.89"
"920","Roads & Highways","Ministry of Road Transport & Highways","618335","Widening to 2 Lane with Paved shoulder of lmphal to Jiribam section of NH-37 from Design Ch. from Km 101280 Near Khongsang Village to Km 131280 near Puilon Kambiron Village on EPC Mode in Manipur PKG-5","410.68","410.68","382.67"
"921","Roads & Highways","Ministry of Road Transport & Highways","618336","Widening to 2 -Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 66.110 km to 101.280 Km Existing Chainage km 67.496 to km 103.557 on EPC Mode in Manipur PKG-4","579.63","579.63","408.21"
"922","Roads & Highways","Ministry of Road Transport & Highways","618337","Widening to 2 -Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 33.000 km to 66.390 Km Existing Chainage from km 33.395 to km 67.496 on EPC Mode in Manipur PKG-3","467","467","593.79"
"923","Roads & Highways","Ministry of Road Transport & Highways","618338","Widening to 2-Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 15.940 km to 33.120 Km Existing Chainage Km 15.946 to Km 33.395 Total length17.180 Km in the State of Manipur on EPC mode PKG-2 - Balance Works & Rectification works","195.14","195.14","162.71"
